0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,target
164,287,230,1950,931,497,135,310,252,2109,1016,529,185,408,346,2604,1493,769,223,430,368,3047,1512,747,310,458,477,2844,1677,980,327,597,683,2654,1861,1251,299,537,551,2439,1898,1308,226,343,292,2052,1239,665,0
282,520,499,2733,1775,1013,270,522,466,2558,2034,1157,376,598,631,2708,2312,1356,301,578,548,3318,2238,1243,522,868,1166,2902,3216,2029,536,797,1104,2611,3087,1928,418,639,813,2030,2838,1919,382,559,645,1933,2345,1558,0
349,739,559,4787,2176,1101,384,745,549,4497,2255,1183,471,861,814,3797,2151,1331,386,765,777,3586,2312,1221,781,1272,1766,3449,4237,2725,717,1086,1478,3038,3942,2546,757,1055,1340,2747,3807,2560,642,901,1017,2690,3318,2157,4
377,723,640,3867,2331,1176,371,678,582,3663,2318,1193,577,931,913,3766,2386,1454,396,713,646,3707,2092,1049,464,770,927,3095,2619,1453,481,733,937,2648,2635,1460,768,1093,1417,2682,3561,2374,605,823,954,2167,3229,2173,2
138,210,208,1921,758,340,204,281,284,1905,986,487,286,470,463,2396,1488,796,315,489,502,2503,1676,911,322,497,530,2595,1571,829,270,429,445,2402,1523,760,278,425,451,2230,1319,685,235,299,287,1682,860,412,0
263,362,342,1841,1161,609,305,419,417,2002,1339,745,403,564,575,2067,1552,929,369,526,561,2201,1745,1005,374,522,554,2275,1669,949,387,522,545,2137,1719,934,365,522,541,2112,1495,803,296,446,410,1981,1282,662,0
331,450,537,2025,1746,996,400,496,596,2018,1753,1049,505,692,769,2400,2170,1368,450,654,744,2571,2341,1436,448,619,699,2679,2227,1295,1298,1525,1584,3433,3014,2079,409,589,622,2490,1950,1072,355,485,511,2317,1713,942,0
224,313,284,1924,965,473,260,366,342,1946,1076,546,188,392,288,2277,1153,571,251,452,329,2431,1232,578,267,455,359,2462,1239,589,1608,1771,1764,3167,2414,2026,653,746,693,2256,1396,773,142,246,207,946,440,223,0
180,323,431,1575,1372,841,211,368,473,1596,1452,893,272,500,602,2122,1933,1214,252,532,518,2905,1658,959,212,462,409,3425,1585,837,191,481,417,3002,1559,797,164,390,340,2560,1445,741,204,362,400,2255,1348,716,4
335,675,530,3788,1675,867,324,445,588,1467,2134,1713,626,941,1093,2988,3022,2159,427,741,658,3852,2500,1478,408,712,647,3715,2346,1313,472,728,973,2800,2939,1839,634,910,1240,2522,3522,2868,479,789,837,2584,2706,2064,0
148,270,226,1820,932,458,176,308,272,1982,1066,547,218,433,322,2777,1379,677,335,561,570,2650,1934,1021,347,595,686,2860,2108,1118,316,525,616,2782,1915,987,278,461,484,2378,1646,857,205,382,337,2112,1257,625,0
333,469,483,2229,1568,910,337,570,618,2464,2144,1334,337,619,615,2806,2047,1214,383,638,628,2895,1982,1141,447,731,799,3091,2256,1370,437,652,763,2597,2299,1413,455,604,693,2402,1999,1243,421,640,658,2501,2038,1246,4
242,389,379,2515,1432,703,257,437,450,2573,1721,900,284,538,466,2932,1676,858,272,514,393,3303,1567,721,238,512,390,3572,1589,753,251,517,406,3118,1739,884,267,484,394,3097,1484,718,263,458,377,2897,1348,634,0
591,916,1041,2848,2407,1774,567,868,974,2950,2231,1582,708,968,1140,3131,2618,1976,768,1041,1259,3166,2718,2055,715,1081,1268,3021,2854,2070,774,1119,1450,2687,3016,2231,846,1173,1437,2539,3246,2560,824,1090,1304,2764,3051,2392,4
155,259,233,1587,773,409,194,329,325,1644,938,494,283,429,408,1962,1353,710,289,457,429,2094,1453,775,303,453,409,2141,1465,776,296,465,468,2185,1649,865,312,447,468,1968,1602,865,268,401,386,1885,1456,769,0
192,345,275,2044,898,452,205,364,307,1934,976,524,273,457,416,2096,1242,681,287,539,503,2104,1421,826,323,485,420,2086,1303,698,243,457,433,2014,1306,682,236,454,412,1974,1212,646,220,434,371,1951,1084,578,0
288,478,559,2250,2091,1192,296,496,573,2348,2121,1252,292,591,559,2830,2128,1211,236,554,502,3299,1995,1032,274,552,503,3154,2020,1049,243,550,558,3154,2061,1087,307,522,577,2485,2059,1120,245,464,476,2152,1900,1077,3
36,119,147,1813,684,292,51,147,173,1856,816,370,135,239,255,2147,1096,504,127,301,246,2779,1145,503,145,382,315,2815,1234,583,104,271,227,2523,969,398,132,310,269,2476,1019,422,117,239,215,2069,747,315,0
93,206,254,1724,1132,566,120,245,292,1725,1281,657,172,376,349,2188,1512,771,198,458,392,2811,1518,714,309,472,405,3054,1616,789,142,401,307,2848,1451,647,175,407,337,2600,1367,609,161,356,303,2471,1125,487,0
188,374,454,1810,1623,838,241,427,508,1824,1701,919,272,580,693,2174,1744,958,328,565,667,2156,1811,1016,357,611,783,2053,2009,1311,305,600,765,2038,1990,1172,351,582,726,1800,1914,1179,287,509,605,1661,1716,1016,3
206,309,336,1502,1236,698,257,379,404,1610,1370,800,252,551,329,3925,1632,732,187,442,261,4033,1570,634,219,428,260,3938,1537,605,158,339,204,3491,1415,537,202,358,269,3202,1385,559,182,317,224,2652,1281,513,0
212,389,416,2138,1708,948,272,448,477,2110,1763,1012,252,484,351,3141,1594,776,216,414,310,3450,1611,731,260,425,340,3345,1622,741,209,418,359,2991,1751,787,249,416,381,2573,1588,775,221,351,300,2396,1382,650,0
106,194,197,1946,828,377,132,223,236,1838,936,461,219,409,410,2145,1323,722,193,357,344,2197,1241,620,220,386,399,2350,1323,669,203,368,361,2345,1304,636,196,343,330,2050,1138,543,150,274,265,1978,990,461,0
313,603,842,1848,1960,1388,324,644,783,2165,2081,1442,324,660,512,4351,1751,987,291,752,667,4281,2003,1126,410,785,974,3218,2381,1425,550,961,1393,2874,3666,2530,581,980,1443,2356,3441,2947,380,770,751,2901,2290,1438,2
85,183,151,2213,595,238,115,214,195,2174,783,345,168,311,244,2598,999,465,157,309,224,3046,965,405,158,308,236,3174,1007,431,147,298,238,2965,1054,430,141,265,228,2447,946,408,111,209,186,1962,682,280,0
152,239,262,2032,848,416,176,286,314,1992,1061,582,297,453,545,2250,1462,874,298,455,495,2453,1590,912,337,492,592,2623,1659,922,304,525,664,2558,1706,958,248,398,475,2127,1347,726,187,291,295,1936,947,470,0
199,332,338,2252,1065,557,222,346,356,2156,1318,693,312,468,478,2172,1465,816,252,414,408,2195,1325,702,279,418,423,2212,1283,674,246,410,442,2230,1353,689,238,388,408,2183,1323,675,187,337,304,2032,994,482,0
392,774,976,2269,1701,955,416,838,1067,2293,1866,1093,653,999,1139,2546,2767,1828,663,1271,1553,2903,3162,2201,785,1236,1522,3015,3117,2196,847,1472,1814,3266,3431,2440,828,1336,1660,3008,3142,2251,610,1019,1218,2680,2738,1848,0
480,730,736,2564,1727,1181,543,784,797,2782,1745,1188,844,1073,1229,2389,2300,1802,784,1136,1318,2399,2339,1830,859,1053,1137,2911,2212,1591,579,871,918,2887,2094,1373,720,960,1047,2555,2210,1592,619,904,1013,2210,1973,1490,4
254,431,384,2920,1639,873,244,451,392,2811,1607,856,348,620,553,3284,1853,1035,395,715,656,3569,1985,1136,396,650,595,3438,1957,1027,394,662,787,2952,2204,1271,386,613,758,2445,2307,1495,412,580,567,2531,1962,1151,2
222,340,386,1581,1127,645,268,368,457,1656,1350,796,539,720,933,1865,2084,1465,527,761,1038,2025,2476,1712,577,836,1058,2305,2537,1698,486,799,1024,2274,2338,1516,398,625,754,2149,1897,1171,450,589,687,2025,1667,1030,0
205,296,308,1715,1021,532,206,297,311,1657,1107,580,252,328,429,833,1042,936,355,557,669,1827,1842,1210,435,633,671,2457,2006,1248,371,624,664,2394,1961,1175,333,565,564,2199,1793,1098,328,571,593,2170,1862,1152,5
363,442,530,3145,1494,788,344,412,478,2786,1546,807,356,525,437,3426,1505,746,264,487,350,4106,1485,705,318,559,414,4134,1597,731,297,551,457,3422,1529,760,284,493,410,3261,1451,692,225,441,345,3473,1309,570,3
412,616,730,1400,1510,1164,424,536,701,1558,1418,1119,537,671,815,2292,1739,1329,465,829,979,2792,2351,1720,512,717,879,2719,2070,1506,504,747,920,2293,2046,1460,460,634,805,1920,1849,1389,506,700,891,2007,1816,1445,0
170,226,192,851,592,367,186,269,202,1158,730,408,200,389,243,2853,1172,575,215,417,233,3694,1344,586,289,470,277,3338,1425,634,190,353,222,2866,1258,575,155,288,180,2103,1049,488,251,373,244,1809,942,423,0
366,541,437,2391,1301,727,349,554,439,3018,1359,783,422,769,673,3300,1753,1053,595,944,1098,2934,2532,1656,583,876,851,3415,2371,1471,472,743,653,3594,2110,1202,478,719,746,2473,2113,1428,544,769,804,2312,1940,1300,2
286,599,449,3506,1863,952,254,568,364,3754,1665,805,348,719,531,4127,1755,908,760,1204,1399,4194,3526,2105,424,720,633,3756,2576,1431,419,706,748,3225,2625,1455,391,617,651,2453,2440,1511,477,755,655,3367,2440,1284,4
469,608,708,2332,2459,1474,496,620,714,2215,2564,1568,559,739,834,2597,2755,1675,555,747,832,2700,2683,1627,600,801,890,3010,2673,1556,522,748,822,2829,2494,1425,432,602,639,2477,2206,1272,420,557,586,2384,1979,1142,0
1748,1848,2037,2574,2116,1932,1410,2068,2130,2764,2318,2138,1785,1967,2122,3199,2733,2432,1605,2025,2077,3398,2863,2442,1638,2093,2133,3283,2807,2420,254,1972,1985,3083,2768,2394,1798,2195,2321,3025,2815,2535,1884,2014,2172,2985,2425,2172,0
138,229,211,2054,819,360,162,239,258,1918,915,443,220,367,341,2114,1094,553,219,417,359,2591,1269,613,212,383,294,2947,1167,540,206,357,283,2664,1094,490,168,323,247,2435,949,427,178,350,250,2609,962,414,1
