Dataset,Classifier,Oversampling method,Metric,Mean CV score
ecoli,LogisticRegression,SMOTE2,geometric mean score,0.8830918022922877
ecoli,LogisticRegression,SMOTE2,roc auc score,0.9367315869983678
ecoli2,GradientBoostingClassifier,ADASYN,f1 score,0.6731934731934732
ecoli2,GradientBoostingClassifier,ADASYN,geometric mean score,0.9041874720316013
ecoli2,GradientBoostingClassifier,ADASYN,roc auc score,0.9681701298162665
ecoli2,GradientBoostingClassifier,None,f1 score,0.7710084033613446
ecoli2,GradientBoostingClassifier,None,geometric mean score,0.828689809281053
ecoli2,GradientBoostingClassifier,None,roc auc score,0.9688218033262826
ecoli2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7110516934046346
ecoli2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8776358300667905
ecoli2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9665627203351168
ecoli2,GradientBoostingClassifier,SMOTE,f1 score,0.7495822890559732
ecoli2,GradientBoostingClassifier,SMOTE,geometric mean score,0.8824634016474263
ecoli2,GradientBoostingClassifier,SMOTE,roc auc score,0.9681675376384223
ecoli2,GradientBoostingClassifier,SMOTE2,f1 score,0.6914344685242518
ecoli2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8396988363056582
ecoli2,GradientBoostingClassifier,SMOTE2,roc auc score,0.9707016506988511
ecoli2,LogisticRegression,ADASYN,f1 score,0.6012321012321012
ecoli2,LogisticRegression,ADASYN,geometric mean score,0.9362938084274953
ecoli2,LogisticRegression,ADASYN,roc auc score,0.9650299655758783
ecoli2,LogisticRegression,None,f1 score,0.0
ecoli2,LogisticRegression,None,geometric mean score,0.0
ecoli2,LogisticRegression,None,roc auc score,0.9555985857077683
ecoli2,LogisticRegression,RandomOverSampler,f1 score,0.6057107922465566
ecoli2,LogisticRegression,RandomOverSampler,geometric mean score,0.9074216300677241
ecoli2,LogisticRegression,RandomOverSampler,roc auc score,0.9658096926713947
ecoli2,LogisticRegression,SMOTE,f1 score,0.5955267558528429
ecoli2,LogisticRegression,SMOTE,geometric mean score,0.9050478902466805
ecoli2,LogisticRegression,SMOTE,roc auc score,0.965526626850815
ecoli2,LogisticRegression,SMOTE2,f1 score,0.5542755687683224
ecoli2,LogisticRegression,SMOTE2,geometric mean score,0.8903510645297341
ecoli2,LogisticRegression,SMOTE2,roc auc score,0.9600151383186099
ecoli4,GradientBoostingClassifier,ADASYN,f1 score,0.5578865578865578
ecoli4,GradientBoostingClassifier,ADASYN,geometric mean score,0.8194323639096833
ecoli4,GradientBoostingClassifier,ADASYN,roc auc score,0.960811870100784
ecoli4,GradientBoostingClassifier,None,f1 score,0.40269360269360277
ecoli4,GradientBoostingClassifier,None,geometric mean score,0.6046699647154999
ecoli4,GradientBoostingClassifier,None,roc auc score,0.9079955207166852
ecoli4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.5151515151515151
ecoli4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7234303385174129
ecoli4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9195837999253452
ecoli4,GradientBoostingClassifier,SMOTE,f1 score,0.5858585858585857
ecoli4,GradientBoostingClassifier,SMOTE,geometric mean score,0.7723240293667916
ecoli4,GradientBoostingClassifier,SMOTE,roc auc score,0.9706830907054872
ecoli4,GradientBoostingClassifier,SMOTE2,f1 score,0.5707070707070706
ecoli4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7229996080437829
ecoli4,GradientBoostingClassifier,SMOTE2,roc auc score,0.9343486375513251
ecoli4,LogisticRegression,ADASYN,f1 score,0.396604938271605
ecoli4,LogisticRegression,ADASYN,geometric mean score,0.8918051197079228
ecoli4,LogisticRegression,ADASYN,roc auc score,0.9582904068682344
ecoli4,LogisticRegression,None,f1 score,0.0
ecoli4,LogisticRegression,None,geometric mean score,0.0
ecoli4,LogisticRegression,None,roc auc score,0.8987196715192237
ecoli4,LogisticRegression,RandomOverSampler,f1 score,0.39166666666666666
ecoli4,LogisticRegression,RandomOverSampler,geometric mean score,0.8566487123554344
ecoli4,LogisticRegression,RandomOverSampler,roc auc score,0.9593337066069427
ecoli4,LogisticRegression,SMOTE,f1 score,0.3888888888888889
ecoli4,LogisticRegression,SMOTE,geometric mean score,0.8569623225223324
ecoli4,LogisticRegression,SMOTE,roc auc score,0.9581056364315043
ecoli4,LogisticRegression,SMOTE2,f1 score,0.42300240254204446
ecoli4,LogisticRegression,SMOTE2,geometric mean score,0.9343491007895521
ecoli4,LogisticRegression,SMOTE2,roc auc score,0.957062336692796
ecoli6,GradientBoostingClassifier,ADASYN,f1 score,0.5777777777777778
ecoli6,GradientBoostingClassifier,ADASYN,geometric mean score,0.8319385502589771
ecoli6,GradientBoostingClassifier,ADASYN,roc auc score,0.9882667662062958
ecoli6,GradientBoostingClassifier,None,f1 score,0.5555555555555555
ecoli6,GradientBoostingClassifier,None,geometric mean score,0.5690355937288492
ecoli6,GradientBoostingClassifier,None,roc auc score,0.8818713450292398
ecoli6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.4166666666666667
ecoli6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5642510699050934
ecoli6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.95374517854921
ecoli6,GradientBoostingClassifier,SMOTE,f1 score,0.5166666666666666
ecoli6,GradientBoostingClassifier,SMOTE,geometric mean score,0.6613614400745403
ecoli6,GradientBoostingClassifier,SMOTE,roc auc score,0.9619883040935674
ecoli6,GradientBoostingClassifier,SMOTE2,f1 score,0.5833333333333334
ecoli6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6631392305282765
ecoli6,GradientBoostingClassifier,SMOTE2,roc auc score,0.9619883040935674
ecoli6,LogisticRegression,ADASYN,f1 score,0.39627039627039623
ecoli6,LogisticRegression,ADASYN,geometric mean score,0.8707098915520832
ecoli6,LogisticRegression,ADASYN,roc auc score,0.9670274978225706
ecoli6,LogisticRegression,None,f1 score,0.0
ecoli6,LogisticRegression,None,geometric mean score,0.0
ecoli6,LogisticRegression,None,roc auc score,0.8579631703371906
ecoli6,LogisticRegression,RandomOverSampler,f1 score,0.36336996336996336
ecoli6,LogisticRegression,RandomOverSampler,geometric mean score,0.8665636461753202
ecoli6,LogisticRegression,RandomOverSampler,roc auc score,0.9758554186885654
ecoli6,LogisticRegression,SMOTE,f1 score,0.3428571428571428
ecoli6,LogisticRegression,SMOTE,geometric mean score,0.8628970381139645
ecoli6,LogisticRegression,SMOTE,roc auc score,0.9723466467587409
ecoli6,LogisticRegression,SMOTE2,f1 score,0.3463203463203463
ecoli6,LogisticRegression,SMOTE2,geometric mean score,0.8634286465108097
