Dataset,Classifier,Oversampling method,Metric,Mean CV score
libra,GradientBoostingClassifier,None,roc auc score,0.9565972222222221
libra,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8273809523809523
libra,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8577163274026077
libra,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9671585648148147
libra,GradientBoostingClassifier,SMOTE,f1 score,0.8656985252729934
libra,GradientBoostingClassifier,SMOTE,geometric mean score,0.8908744869635795
libra,GradientBoostingClassifier,SMOTE,roc auc score,0.9678819444444444
libra,GradientBoostingClassifier,SMOTE2,f1 score,0.8748144482929243
libra,GradientBoostingClassifier,SMOTE2,geometric mean score,0.904247123766409
libra,GradientBoostingClassifier,SMOTE2,roc auc score,0.9573206018518519
libra,LogisticRegression,ADASYN,f1 score,0.5215383090494597
libra,LogisticRegression,ADASYN,geometric mean score,0.7007187185137912
libra,LogisticRegression,ADASYN,roc auc score,0.7387152777777777
libra,LogisticRegression,None,f1 score,0.280970625798212
libra,LogisticRegression,None,geometric mean score,0.40536842873820633
libra,LogisticRegression,None,roc auc score,0.7297453703703703
libra,LogisticRegression,RandomOverSampler,f1 score,0.5066133599866732
libra,LogisticRegression,RandomOverSampler,geometric mean score,0.6887568646251087
libra,LogisticRegression,RandomOverSampler,roc auc score,0.7489872685185186
libra,LogisticRegression,SMOTE,f1 score,0.5119427423574889
libra,LogisticRegression,SMOTE,geometric mean score,0.6918236504879965
libra,LogisticRegression,SMOTE,roc auc score,0.7835648148148149
libra,LogisticRegression,SMOTE2,f1 score,0.6916827852998066
libra,LogisticRegression,SMOTE2,geometric mean score,0.8177672972622322
libra,LogisticRegression,SMOTE2,roc auc score,0.7873263888888888
libra2,GradientBoostingClassifier,ADASYN,f1 score,0.6531033466017986
libra2,GradientBoostingClassifier,ADASYN,geometric mean score,0.7145916869312622
libra2,GradientBoostingClassifier,ADASYN,roc auc score,0.9103009259259259
libra2,GradientBoostingClassifier,None,f1 score,0.4246498599439776
libra2,GradientBoostingClassifier,None,geometric mean score,0.5179151716105886
libra2,GradientBoostingClassifier,None,roc auc score,0.8833912037037038
libra2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.5948400412796698
libra2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6988908855002759
libra2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8530092592592593
libra2,GradientBoostingClassifier,SMOTE,f1 score,0.6452991452991452
libra2,GradientBoostingClassifier,SMOTE,geometric mean score,0.7422551971846568
libra2,GradientBoostingClassifier,SMOTE,roc auc score,0.8715277777777777
libra2,GradientBoostingClassifier,SMOTE2,f1 score,0.6185185185185186
libra2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7059902794558512
libra2,GradientBoostingClassifier,SMOTE2,roc auc score,0.9117476851851851
libra2,LogisticRegression,ADASYN,f1 score,0.3682539682539683
libra2,LogisticRegression,ADASYN,geometric mean score,0.6570041866085566
libra2,LogisticRegression,ADASYN,roc auc score,0.7181712962962964
libra2,LogisticRegression,None,f1 score,0.26666666666666666
libra2,LogisticRegression,None,geometric mean score,0.3333333333333333
libra2,LogisticRegression,None,roc auc score,0.8289930555555557
libra2,LogisticRegression,RandomOverSampler,f1 score,0.5240955240955242
libra2,LogisticRegression,RandomOverSampler,geometric mean score,0.7884082922500486
libra2,LogisticRegression,RandomOverSampler,roc auc score,0.8003472222222221
libra2,LogisticRegression,SMOTE,f1 score,0.5308880308880309
libra2,LogisticRegression,SMOTE,geometric mean score,0.7903716184098775
libra2,LogisticRegression,SMOTE,roc auc score,0.8156828703703705
libra2,LogisticRegression,SMOTE2,f1 score,0.39206349206349206
libra2,LogisticRegression,SMOTE2,geometric mean score,0.6435035899929465
libra2,LogisticRegression,SMOTE2,roc auc score,0.6663773148148149
libra4,GradientBoostingClassifier,ADASYN,f1 score,0.6649350649350648
libra4,GradientBoostingClassifier,ADASYN,geometric mean score,0.7125386001889553
libra4,GradientBoostingClassifier,ADASYN,roc auc score,0.9652777777777777
libra4,GradientBoostingClassifier,None,f1 score,0.1619047619047619
libra4,GradientBoostingClassifier,None,geometric mean score,0.27002235739063424
libra4,GradientBoostingClassifier,None,roc auc score,0.9259259259259259
libra4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.4619047619047619
libra4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5630042839974703
libra4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9230324074074074
libra4,GradientBoostingClassifier,SMOTE,f1 score,0.5681818181818181
libra4,GradientBoostingClassifier,SMOTE,geometric mean score,0.6768607183895113
libra4,GradientBoostingClassifier,SMOTE,roc auc score,0.9577546296296295
libra4,GradientBoostingClassifier,SMOTE2,f1 score,0.5055555555555555
libra4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6055458348530589
libra4,GradientBoostingClassifier,SMOTE2,roc auc score,0.9247685185185185
libra4,LogisticRegression,ADASYN,f1 score,0.6777777777777777
libra4,LogisticRegression,ADASYN,geometric mean score,0.8563151155554113
libra4,LogisticRegression,ADASYN,roc auc score,0.9884259259259259
libra4,LogisticRegression,None,f1 score,0.0
libra4,LogisticRegression,None,geometric mean score,0.0
libra4,LogisticRegression,None,roc auc score,0.9716435185185185
libra4,LogisticRegression,RandomOverSampler,f1 score,0.6561771561771561
libra4,LogisticRegression,RandomOverSampler,geometric mean score,0.8766315655141245
libra4,LogisticRegression,RandomOverSampler,roc auc score,0.9884259259259259
libra4,LogisticRegression,SMOTE,f1 score,0.6084848484848485
libra4,LogisticRegression,SMOTE,geometric mean score,0.871261011808382
libra4,LogisticRegression,SMOTE,roc auc score,0.9895833333333334
libra4,LogisticRegression,SMOTE2,f1 score,0.6682539682539682
libra4,LogisticRegression,SMOTE2,geometric mean score,0.8544966257142947
libra4,LogisticRegression,SMOTE2,roc auc score,0.9855324074074074
libra6,GradientBoostingClassifier,ADASYN,f1 score,0.4598364598364599
libra6,GradientBoostingClassifier,ADASYN,geometric mean score,0.6959437187011459
libra6,GradientBoostingClassifier,ADASYN,roc auc score,0.782986111111111
libra6,GradientBoostingClassifier,None,f1 score,0.0
libra6,GradientBoostingClassifier,None,geometric mean score,0.0
libra6,GradientBoostingClassifier,None,roc auc score,0.6232638888888888
libra6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.09523809523809525
libra6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.16492141787552664
libra6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.5091145833333334
libra6,GradientBoostingClassifier,SMOTE,f1 score,0.09523809523809525
libra6,GradientBoostingClassifier,SMOTE,geometric mean score,0.16492141787552664
libra6,GradientBoostingClassifier,SMOTE,roc auc score,0.7144097222222222
libra6,GradientBoostingClassifier,SMOTE2,f1 score,0.0
libra6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.0
libra6,GradientBoostingClassifier,SMOTE2,roc auc score,0.5564236111111112
libra6,LogisticRegression,ADASYN,f1 score,0.7685185185185185
libra6,LogisticRegression,ADASYN,geometric mean score,0.9044126347495155
libra6,LogisticRegression,ADASYN,roc auc score,0.9644097222222223
libra6,LogisticRegression,None,f1 score,0.0
libra6,LogisticRegression,None,geometric mean score,0.0
libra6,LogisticRegression,None,roc auc score,0.8836805555555556
libra6,LogisticRegression,RandomOverSampler,f1 score,0.5777777777777777
libra6,LogisticRegression,RandomOverSampler,geometric mean score,0.8883526776705137
libra6,LogisticRegression,RandomOverSampler,roc auc score,0.9713541666666666
libra6,LogisticRegression,SMOTE,f1 score,0.5982905982905983
libra6,LogisticRegression,SMOTE,geometric mean score,0.8914757756617041
libra6,LogisticRegression,SMOTE,roc auc score,0.959201388888889
libra6,LogisticRegression,SMOTE2,f1 score,0.43386243386243395
libra6,LogisticRegression,SMOTE2,geometric mean score,0.6313830304397515
libra6,LogisticRegression,SMOTE2,roc auc score,0.861111111111111
liver_disorders,GradientBoostingClassifier,ADASYN,f1 score,0.6284108533177477
liver_disorders,GradientBoostingClassifier,ADASYN,geometric mean score,0.6656159573023276
liver_disorders,GradientBoostingClassifier,ADASYN,roc auc score,0.7368145999542589
liver_disorders,GradientBoostingClassifier,None,f1 score,0.6534490682788849
liver_disorders,GradientBoostingClassifier,None,geometric mean score,0.7012200481694816
liver_disorders,GradientBoostingClassifier,None,roc auc score,0.7561470502568582
liver_disorders,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6778338001867413
liver_disorders,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.713179945664344
liver_disorders,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.747670891061083
liver_disorders,GradientBoostingClassifier,SMOTE,f1 score,0.660473859097301
liver_disorders,GradientBoostingClassifier,SMOTE,geometric mean score,0.7026157213284003
liver_disorders,GradientBoostingClassifier,SMOTE,roc auc score,0.7536103079479944
liver_disorders,GradientBoostingClassifier,SMOTE2,f1 score,0.6517973612148369
liver_disorders,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6894622883361349
liver_disorders,GradientBoostingClassifier,SMOTE2,roc auc score,0.7350989845659354
liver_disorders,LogisticRegression,ADASYN,f1 score,0.6024068886813985
liver_disorders,LogisticRegression,ADASYN,geometric mean score,0.6394748349752474
liver_disorders,LogisticRegression,ADASYN,roc auc score,0.7036221374574252
liver_disorders,LogisticRegression,None,f1 score,0.5830870279146142
liver_disorders,LogisticRegression,None,geometric mean score,0.6473857689180115
liver_disorders,LogisticRegression,None,roc auc score,0.7133529105144243
liver_disorders,LogisticRegression,RandomOverSampler,f1 score,0.6292629262926293
liver_disorders,LogisticRegression,RandomOverSampler,geometric mean score,0.6674913281822573
liver_disorders,LogisticRegression,RandomOverSampler,roc auc score,0.7054081658292746
liver_disorders,LogisticRegression,SMOTE,f1 score,0.6244250056073568
liver_disorders,LogisticRegression,SMOTE,geometric mean score,0.6671982411249345
liver_disorders,LogisticRegression,SMOTE,roc auc score,0.7075510345099897
liver_disorders,LogisticRegression,SMOTE2,f1 score,0.6308266308266308
liver_disorders,LogisticRegression,SMOTE2,geometric mean score,0.6653843251728443
liver_disorders,LogisticRegression,SMOTE2,roc auc score,0.7065731689932115
liver_disorders10,GradientBoostingClassifier,ADASYN,f1 score,0.1346153846153846
liver_disorders10,GradientBoostingClassifier,ADASYN,geometric mean score,0.3039038599914521
liver_disorders10,GradientBoostingClassifier,ADASYN,roc auc score,0.6615709332127242
liver_disorders10,GradientBoostingClassifier,None,f1 score,0.08333333333333333
liver_disorders10,GradientBoostingClassifier,None,geometric mean score,0.14682939864053438
liver_disorders10,GradientBoostingClassifier,None,roc auc score,0.6446140509573345
liver_disorders10,GradientBoostingClassifier,RandomOverSampler,f1 score,0.12962962962962962
liver_disorders10,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.30377706956221134
liver_disorders10,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6487109905020353
liver_disorders10,GradientBoostingClassifier,SMOTE,f1 score,0.047619047619047616
liver_disorders10,GradientBoostingClassifier,SMOTE,geometric mean score,0.13988860766301586
liver_disorders10,GradientBoostingClassifier,SMOTE,roc auc score,0.6233077039047189
liver_disorders10,GradientBoostingClassifier,SMOTE2,f1 score,0.2550264550264551
liver_disorders10,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5066269359459399
liver_disorders10,GradientBoostingClassifier,SMOTE2,roc auc score,0.7246004824363034
liver_disorders10,LogisticRegression,ADASYN,f1 score,0.18656126482213442
liver_disorders10,LogisticRegression,ADASYN,geometric mean score,0.5718016003719391
liver_disorders10,LogisticRegression,ADASYN,roc auc score,0.7087064676616915
liver_disorders10,LogisticRegression,None,f1 score,0.0
liver_disorders10,LogisticRegression,None,geometric mean score,0.0
liver_disorders10,LogisticRegression,None,roc auc score,0.697878034072064
liver_disorders10,LogisticRegression,RandomOverSampler,f1 score,0.25555555555555554
liver_disorders10,LogisticRegression,RandomOverSampler,geometric mean score,0.6921870460441136
liver_disorders10,LogisticRegression,RandomOverSampler,roc auc score,0.7065241971958391
liver_disorders10,LogisticRegression,SMOTE,f1 score,0.237948717948718
liver_disorders10,LogisticRegression,SMOTE,geometric mean score,0.6847414871834528
liver_disorders10,LogisticRegression,SMOTE,roc auc score,0.7239748228554199
liver_disorders10,LogisticRegression,SMOTE2,f1 score,0.19138755980861244
liver_disorders10,LogisticRegression,SMOTE2,geometric mean score,0.5748274104504709
liver_disorders10,LogisticRegression,SMOTE2,roc auc score,0.714676616915423
liver_disorders15,GradientBoostingClassifier,ADASYN,f1 score,0.13333333333333333
liver_disorders15,GradientBoostingClassifier,ADASYN,geometric mean score,0.19098656970898018
liver_disorders15,GradientBoostingClassifier,ADASYN,roc auc score,0.7004874616814916
liver_disorders15,GradientBoostingClassifier,None,f1 score,0.0
liver_disorders15,GradientBoostingClassifier,None,geometric mean score,0.0
liver_disorders15,GradientBoostingClassifier,None,roc auc score,0.7023719784913814
liver_disorders15,GradientBoostingClassifier,RandomOverSampler,f1 score,0.26666666666666666
liver_disorders15,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.2721655269759087
liver_disorders15,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7015427910950298
liver_disorders15,GradientBoostingClassifier,SMOTE,f1 score,0.14814814814814814
liver_disorders15,GradientBoostingClassifier,SMOTE,geometric mean score,0.2637891890343555
liver_disorders15,GradientBoostingClassifier,SMOTE,roc auc score,0.6346550077893361
liver_disorders15,GradientBoostingClassifier,SMOTE2,f1 score,0.14814814814814814
liver_disorders15,GradientBoostingClassifier,SMOTE2,geometric mean score,0.2637891890343555
liver_disorders15,GradientBoostingClassifier,SMOTE2,roc auc score,0.6819186893813759
liver_disorders15,LogisticRegression,ADASYN,f1 score,0.16049382716049382
liver_disorders15,LogisticRegression,ADASYN,geometric mean score,0.48037793307691706
liver_disorders15,LogisticRegression,ADASYN,roc auc score,0.6826976229961305
liver_disorders15,LogisticRegression,None,f1 score,0.0
liver_disorders15,LogisticRegression,None,geometric mean score,0.0
liver_disorders15,LogisticRegression,None,roc auc score,0.6879993969546208
liver_disorders15,LogisticRegression,RandomOverSampler,f1 score,0.13486590038314175
liver_disorders15,LogisticRegression,RandomOverSampler,geometric mean score,0.46873734932822175
liver_disorders15,LogisticRegression,RandomOverSampler,roc auc score,0.6759133624805266
liver_disorders15,LogisticRegression,SMOTE,f1 score,0.16884531590413943
liver_disorders15,LogisticRegression,SMOTE,geometric mean score,0.6470314565369505
liver_disorders15,LogisticRegression,SMOTE,roc auc score,0.6826976229961303
liver_disorders15,LogisticRegression,SMOTE2,f1 score,0.17912457912457913
liver_disorders15,LogisticRegression,SMOTE2,geometric mean score,0.6019564217554294
liver_disorders15,LogisticRegression,SMOTE2,roc auc score,0.6495301271420674
liver_disorders2,GradientBoostingClassifier,ADASYN,f1 score,0.5046296296296297
liver_disorders2,GradientBoostingClassifier,ADASYN,geometric mean score,0.6503718971874242
liver_disorders2,GradientBoostingClassifier,ADASYN,roc auc score,0.7030598271269913
liver_disorders2,GradientBoostingClassifier,None,f1 score,0.5269401330376939
liver_disorders2,GradientBoostingClassifier,None,geometric mean score,0.6409484877857342
liver_disorders2,GradientBoostingClassifier,None,roc auc score,0.7284065782200111
liver_disorders2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.5343658740091781
liver_disorders2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6677465932767036
liver_disorders2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7243234584652495
liver_disorders2,GradientBoostingClassifier,SMOTE,f1 score,0.4745862884160757
liver_disorders2,GradientBoostingClassifier,SMOTE,geometric mean score,0.6201798320439301
liver_disorders2,GradientBoostingClassifier,SMOTE,roc auc score,0.7199419568822553
liver_disorders2,GradientBoostingClassifier,SMOTE2,f1 score,0.5283075587026955
liver_disorders2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6630241775010864
liver_disorders2,GradientBoostingClassifier,SMOTE2,roc auc score,0.7155698778833107
liver_disorders2,LogisticRegression,ADASYN,f1 score,0.5352512067883196
liver_disorders2,LogisticRegression,ADASYN,geometric mean score,0.6827637169207708
liver_disorders2,LogisticRegression,ADASYN,roc auc score,0.7242575003769033
liver_disorders2,LogisticRegression,None,f1 score,0.3828073126466292
liver_disorders2,LogisticRegression,None,geometric mean score,0.5121611134625389
liver_disorders2,LogisticRegression,None,roc auc score,0.7206957636062113
liver_disorders2,LogisticRegression,RandomOverSampler,f1 score,0.5253077522076975
liver_disorders2,LogisticRegression,RandomOverSampler,geometric mean score,0.6746103702237857
liver_disorders2,LogisticRegression,RandomOverSampler,roc auc score,0.7176051560379918
liver_disorders2,LogisticRegression,SMOTE,f1 score,0.5302307363623415
liver_disorders2,LogisticRegression,SMOTE,geometric mean score,0.6754350009856829
liver_disorders2,LogisticRegression,SMOTE,roc auc score,0.7244208251670937
liver_disorders2,LogisticRegression,SMOTE2,f1 score,0.522925386081952
liver_disorders2,LogisticRegression,SMOTE2,geometric mean score,0.6679971606558986
liver_disorders2,LogisticRegression,SMOTE2,roc auc score,0.7303005176139504
liver_disorders4,GradientBoostingClassifier,ADASYN,f1 score,0.4018087855297158
liver_disorders4,GradientBoostingClassifier,ADASYN,geometric mean score,0.6276090510306435
liver_disorders4,GradientBoostingClassifier,ADASYN,roc auc score,0.7516332479019047
liver_disorders4,GradientBoostingClassifier,None,f1 score,0.29523809523809524
liver_disorders4,GradientBoostingClassifier,None,geometric mean score,0.43920073435046225
liver_disorders4,GradientBoostingClassifier,None,roc auc score,0.7309915071109101
liver_disorders4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.35353535353535354
liver_disorders4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5717375037012574
liver_disorders4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7281458867279763
liver_disorders4,GradientBoostingClassifier,SMOTE,f1 score,0.4608504018667358
liver_disorders4,GradientBoostingClassifier,SMOTE,geometric mean score,0.6990177981333338
liver_disorders4,GradientBoostingClassifier,SMOTE,roc auc score,0.7777086788280817
liver_disorders4,GradientBoostingClassifier,SMOTE2,f1 score,0.42149758454106284
liver_disorders4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6321460601333245
liver_disorders4,GradientBoostingClassifier,SMOTE2,roc auc score,0.7690210563344891
liver_disorders4,LogisticRegression,ADASYN,f1 score,0.3862871600253004
liver_disorders4,LogisticRegression,ADASYN,geometric mean score,0.6528007441332921
liver_disorders4,LogisticRegression,ADASYN,roc auc score,0.7136602341826223
liver_disorders4,LogisticRegression,None,f1 score,0.13227513227513227
liver_disorders4,LogisticRegression,None,geometric mean score,0.22864771237412623
liver_disorders4,LogisticRegression,None,roc auc score,0.6990615106286748
liver_disorders4,LogisticRegression,RandomOverSampler,f1 score,0.3861265976409906
liver_disorders4,LogisticRegression,RandomOverSampler,geometric mean score,0.6572638471552256
liver_disorders4,LogisticRegression,RandomOverSampler,roc auc score,0.7215123875571637
liver_disorders4,LogisticRegression,SMOTE,f1 score,0.38112745098039214
liver_disorders4,LogisticRegression,SMOTE,geometric mean score,0.6483051902842805
liver_disorders4,LogisticRegression,SMOTE,roc auc score,0.7144391677973768
liver_disorders4,LogisticRegression,SMOTE2,f1 score,0.36439881910896404
liver_disorders4,LogisticRegression,SMOTE2,geometric mean score,0.6207372391771339
liver_disorders4,LogisticRegression,SMOTE2,roc auc score,0.7037853660987988
liver_disorders6,GradientBoostingClassifier,ADASYN,f1 score,0.26095238095238094
liver_disorders6,GradientBoostingClassifier,ADASYN,geometric mean score,0.49278572509749763
liver_disorders6,GradientBoostingClassifier,ADASYN,roc auc score,0.728714382632293
liver_disorders6,GradientBoostingClassifier,None,f1 score,0.06060606060606061
liver_disorders6,GradientBoostingClassifier,None,geometric mean score,0.11607883179422981
liver_disorders6,GradientBoostingClassifier,None,roc auc score,0.6546434494195688
liver_disorders6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.301994301994302
liver_disorders6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5020175983128908
liver_disorders6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7173319011005578
liver_disorders6,GradientBoostingClassifier,SMOTE,f1 score,0.3969298245614035
liver_disorders6,GradientBoostingClassifier,SMOTE,geometric mean score,0.6163483736170331
liver_disorders6,GradientBoostingClassifier,SMOTE,roc auc score,0.7570952057892356
liver_disorders6,GradientBoostingClassifier,SMOTE2,f1 score,0.26851851851851855
liver_disorders6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.47955118317684925
liver_disorders6,GradientBoostingClassifier,SMOTE2,roc auc score,0.6494233378561737
liver_disorders6,LogisticRegression,ADASYN,f1 score,0.3266142396577179
liver_disorders6,LogisticRegression,ADASYN,geometric mean score,0.658737652592215
liver_disorders6,LogisticRegression,ADASYN,roc auc score,0.6959237901402081
liver_disorders6,LogisticRegression,None,f1 score,0.0
liver_disorders6,LogisticRegression,None,geometric mean score,0.0
liver_disorders6,LogisticRegression,None,roc auc score,0.6593076285240465
liver_disorders6,LogisticRegression,RandomOverSampler,f1 score,0.3267461009396493
liver_disorders6,LogisticRegression,RandomOverSampler,geometric mean score,0.672498719596614
liver_disorders6,LogisticRegression,RandomOverSampler,roc auc score,0.7183024272576511
liver_disorders6,LogisticRegression,SMOTE,f1 score,0.3289241622574956
liver_disorders6,LogisticRegression,SMOTE,geometric mean score,0.6758780090922919
liver_disorders6,LogisticRegression,SMOTE,roc auc score,0.7040460575908337
liver_disorders6,LogisticRegression,SMOTE2,f1 score,0.31676767676767675
liver_disorders6,LogisticRegression,SMOTE2,geometric mean score,0.6302859664862067
liver_disorders6,LogisticRegression,SMOTE2,roc auc score,0.6912124981154832
pima,GradientBoostingClassifier,ADASYN,f1 score,0.6433614573623774
pima,GradientBoostingClassifier,ADASYN,geometric mean score,0.721285994613018
pima,GradientBoostingClassifier,ADASYN,roc auc score,0.8151217832673927
pima,GradientBoostingClassifier,None,f1 score,0.6112817263796643
pima,GradientBoostingClassifier,None,geometric mean score,0.6928839344064491
pima,GradientBoostingClassifier,None,roc auc score,0.8266506140584976
pima,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6565561999895496
pima,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.73247763144278
pima,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8270595370485209
pima,GradientBoostingClassifier,SMOTE,f1 score,0.6701566036895871
pima,GradientBoostingClassifier,SMOTE,geometric mean score,0.7430837180611132
pima,GradientBoostingClassifier,SMOTE,roc auc score,0.8223351410981566
pima,GradientBoostingClassifier,SMOTE2,f1 score,0.6729204083944146
pima,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7451536200366627
pima,GradientBoostingClassifier,SMOTE2,roc auc score,0.8238784377907242
pima,LogisticRegression,ADASYN,f1 score,0.6583191477153185
pima,LogisticRegression,ADASYN,geometric mean score,0.7323197955552215
pima,LogisticRegression,ADASYN,roc auc score,0.8151821687911875
pima,LogisticRegression,None,f1 score,0.6006237537120971
pima,LogisticRegression,None,geometric mean score,0.6791627924835097
pima,LogisticRegression,None,roc auc score,0.8101556782949
pima,LogisticRegression,RandomOverSampler,f1 score,0.6549667228912511
pima,LogisticRegression,RandomOverSampler,geometric mean score,0.7309297035299047
pima,LogisticRegression,RandomOverSampler,roc auc score,0.8161288091206241
pima,LogisticRegression,SMOTE,f1 score,0.6509048695195234
pima,LogisticRegression,SMOTE,geometric mean score,0.7265925753936835
pima,LogisticRegression,SMOTE,roc auc score,0.8189050246603046
pima,LogisticRegression,SMOTE2,f1 score,0.6771776018099548
pima,LogisticRegression,SMOTE2,geometric mean score,0.7483432355894908
pima,LogisticRegression,SMOTE2,roc auc score,0.8141255716384869
pima10,GradientBoostingClassifier,ADASYN,f1 score,0.09696969696969697
pima10,GradientBoostingClassifier,ADASYN,geometric mean score,0.25988671358265697
pima10,GradientBoostingClassifier,ADASYN,roc auc score,0.7028952469892878
pima10,GradientBoostingClassifier,None,f1 score,0.0
pima10,GradientBoostingClassifier,None,geometric mean score,0.0
pima10,GradientBoostingClassifier,None,roc auc score,0.7064963112596759
pima10,GradientBoostingClassifier,RandomOverSampler,f1 score,0.10256410256410256
pima10,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.15619107893272302
pima10,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.671194759076225
pima10,GradientBoostingClassifier,SMOTE,f1 score,0.07675438596491228
pima10,GradientBoostingClassifier,SMOTE,geometric mean score,0.2549989377891162
pima10,GradientBoostingClassifier,SMOTE,roc auc score,0.6114514612007578
pima10,GradientBoostingClassifier,SMOTE2,f1 score,0.11111111111111112
pima10,GradientBoostingClassifier,SMOTE2,geometric mean score,0.18896127922852982
pima10,GradientBoostingClassifier,SMOTE2,roc auc score,0.6841316530259426
pima10,LogisticRegression,ADASYN,f1 score,0.1349856882643768
pima10,LogisticRegression,ADASYN,geometric mean score,0.5395695337831364
pima10,LogisticRegression,ADASYN,roc auc score,0.6241700000267203
pima10,LogisticRegression,None,f1 score,0.0
pima10,LogisticRegression,None,geometric mean score,0.0
pima10,LogisticRegression,None,roc auc score,0.4337282596787683
pima10,LogisticRegression,RandomOverSampler,f1 score,0.11612385823894775
pima10,LogisticRegression,RandomOverSampler,geometric mean score,0.5198842492993684
pima10,LogisticRegression,RandomOverSampler,roc auc score,0.6464372125895465
pima10,LogisticRegression,SMOTE,f1 score,0.13102330293819656
pima10,LogisticRegression,SMOTE,geometric mean score,0.5495097668812813
pima10,LogisticRegression,SMOTE,roc auc score,0.6461074170267229
pima10,LogisticRegression,SMOTE2,f1 score,0.1622523686477175
pima10,LogisticRegression,SMOTE2,geometric mean score,0.5621199192261203
pima10,LogisticRegression,SMOTE2,roc auc score,0.5950312560955732
pima15,GradientBoostingClassifier,ADASYN,f1 score,0.2078544061302682
pima15,GradientBoostingClassifier,ADASYN,geometric mean score,0.6495776031796181
pima15,GradientBoostingClassifier,ADASYN,roc auc score,0.8350002805633713
pima15,GradientBoostingClassifier,None,f1 score,0.0
pima15,GradientBoostingClassifier,None,geometric mean score,0.0
pima15,GradientBoostingClassifier,None,roc auc score,0.8149909017306752
pima15,GradientBoostingClassifier,RandomOverSampler,f1 score,0.25468409586056645
pima15,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6102034288937247
pima15,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8356972801385181
pima15,GradientBoostingClassifier,SMOTE,f1 score,0.1524786324786325
pima15,GradientBoostingClassifier,SMOTE,geometric mean score,0.5488090432140903
pima15,GradientBoostingClassifier,SMOTE,roc auc score,0.8264483082028713
pima15,GradientBoostingClassifier,SMOTE2,f1 score,0.1450980392156863
pima15,GradientBoostingClassifier,SMOTE2,geometric mean score,0.3344567000803358
pima15,GradientBoostingClassifier,SMOTE2,roc auc score,0.7929987414728776
pima15,LogisticRegression,ADASYN,f1 score,0.17451345576345578
pima15,LogisticRegression,ADASYN,geometric mean score,0.7333818491685844
pima15,LogisticRegression,ADASYN,roc auc score,0.8216546826026659
pima15,LogisticRegression,None,f1 score,0.0
pima15,LogisticRegression,None,geometric mean score,0.0
pima15,LogisticRegression,None,roc auc score,0.5980884816711958
pima15,LogisticRegression,RandomOverSampler,f1 score,0.18172198172198173
pima15,LogisticRegression,RandomOverSampler,geometric mean score,0.7570179796337091
pima15,LogisticRegression,RandomOverSampler,roc auc score,0.8322832247152281
pima15,LogisticRegression,SMOTE,f1 score,0.18123211033047096
pima15,LogisticRegression,SMOTE,geometric mean score,0.7594395269622716
pima15,LogisticRegression,SMOTE,roc auc score,0.8130526096401575
pima15,LogisticRegression,SMOTE2,f1 score,0.11805555555555554
pima15,LogisticRegression,SMOTE2,geometric mean score,0.4580749767815946
pima15,LogisticRegression,SMOTE2,roc auc score,0.7464901522256691
