Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
NEW THYROID 1,DT,AUC,0.7111236911845998,0.8289945493122622,0.8713071488960425,0.9134778517543004
NEW THYROID 1,DT,F-SCORE,0.5033501786279564,0.6966044706322485,0.7617479434146102,0.770213099657544
NEW THYROID 1,DT,G-MEAN,0.6643218052576867,0.7984494688907007,0.8536481472200315,0.9232823084665176
NEW THYROID 1,GBC,AUC,0.9177022160439632,0.899522404318278,0.9273668422592918,0.9770750414593696
NEW THYROID 1,GBC,F-SCORE,0.7177777777777777,0.799456937095826,0.8075881834215167,0.87996632996633
NEW THYROID 1,GBC,G-MEAN,0.7785187137967348,0.8300259042273944,0.8377221309427588,0.9155558136079606
NEW THYROID 2,LR,AUC,0.8829315678076443,0.8829015953695462,0.8861650976945828,0.8841098030451131
NEW THYROID 2,LR,F-SCORE,0.0,0.26810569202597995,0.2778725991926469,0.27737155911906497
NEW THYROID 2,LR,G-MEAN,0.0,0.8191675877565832,0.8202712887530871,0.8352621710262796
NEW THYROID 2,KNN,AUC,0.8221532305377877,0.821560217771841,0.8562539013043583,0.8903938081400115
NEW THYROID 2,KNN,F-SCORE,0.23686995843330075,0.4047652509336668,0.3606450378974635,0.4101452167210167
NEW THYROID 2,KNN,G-MEAN,0.32363620882016925,0.7554161953798424,0.7930303483127609,0.8343429304997926
NEW THYROID 2,DT,AUC,0.903657716727206,0.8211049570485177,0.8668450216647244,0.91051466803965
NEW THYROID 2,DT,F-SCORE,0.32034534748128873,0.2621222059989824,0.2507449050669578,0.3573005664254006
NEW THYROID 2,DT,G-MEAN,0.4863398720900292,0.7718172613283468,0.7449195327291552,0.8203481287814723
NEW THYROID 2,GBC,AUC,0.9338031093224703,0.9113657993005176,0.9282680728427228,0.939290355678989
NEW THYROID 2,GBC,F-SCORE,0.39057950224114796,0.3798942182678336,0.37548814927933255,0.4197922782025363
NEW THYROID 2,GBC,G-MEAN,0.5375276808691469,0.7568501768685849,0.7506255480153926,0.8054731530871443
ECOLI,LR,AUC,0.9245872746382084,0.9194362923437628,0.9200116554827932,0.921434702347266
ECOLI,LR,F-SCORE,0.0,0.536081453898292,0.549497254098772,0.5538746824894832
ECOLI,LR,G-MEAN,0.0,0.8756971655158252,0.879855380227654,0.8805026820385967
ECOLI,KNN,AUC,0.944214265502466,0.9339840528741208,0.9355572735602448,0.9496618562535368
ECOLI,KNN,F-SCORE,0.7739068100358425,0.6890224828934506,0.6511016617088723,0.7456194343291118
ECOLI,KNN,G-MEAN,0.8692164478795062,0.8995489975578402,0.9162076436978032,0.9346434523726656
ECOLI,DT,AUC,0.7546589255396556,0.8265867962918049,0.8322038631525048,0.9008966637022664
ECOLI,DT,F-SCORE,0.6372993374606278,0.6181622678396872,0.633319109206206,0.7627850643979676
ECOLI,DT,G-MEAN,0.7535028557371475,0.8189555937413938,0.822946103052164,0.8988904148104463
ECOLI,GBC,AUC,0.9276146683914088,0.9366376963915164,0.94274422615679,0.9608831217829521
ECOLI,GBC,F-SCORE,0.7358325187357444,0.7105683563748079,0.6882027649769583,0.7888970348647768
ECOLI,GBC,G-MEAN,0.8198471925139529,0.8337915994719155,0.8331220605391452,0.897359573381287
EUCALYPTUS,LR,AUC,0.9879545713634288,0.9876982317474792,0.9879415881339616,0.988137761564574
EUCALYPTUS,LR,F-SCORE,0.0,0.3151298832949003,0.3127945006085762,0.31978140228824226
EUCALYPTUS,LR,G-MEAN,0.0,0.9659588913994632,0.9653552161811692,0.9666794414805899
EUCALYPTUS,KNN,AUC,0.9282299741602068,0.9278649395804835,0.9921941499468004,0.9926918667983988
EUCALYPTUS,KNN,F-SCORE,0.649908800729594,0.5519572083183575,0.5979012475592502,0.6091830649970184
EUCALYPTUS,KNN,G-MEAN,0.7366212736546701,0.8729339862455677,0.9677840874758842,0.9878819916469644
EUCALYPTUS,DT,AUC,0.8451602637178902,0.9382647438820491,0.9394217554592896,0.9865461284643056
EUCALYPTUS,DT,F-SCORE,0.4925970341155019,0.536178301482679,0.5527027044287848,0.5942774760832217
EUCALYPTUS,DT,G-MEAN,0.6940124371209414,0.9300184063988396,0.9315488956472016,0.9790434887070136
EUCALYPTUS,GBC,AUC,0.9885088919288646,0.9922114873081016,0.9925460429649896,0.9958319083447332
EUCALYPTUS,GBC,F-SCORE,0.4433672270881573,0.6305892541870654,0.6217414090191108,0.6967887586902636
EUCALYPTUS,GBC,G-MEAN,0.5809846823741293,0.8432503962063432,0.8968317189554256,0.9635538053684636
HABERMAN (2),LR,AUC,0.9734270908051356,0.9748230400055444,0.9753139560268206,0.9755991267737408
HABERMAN (2),LR,F-SCORE,0.0,0.449785280001787,0.4648658787513023,0.4636681658800628
HABERMAN (2),LR,G-MEAN,0.0,0.9133482981044022,0.9157064396522516,0.9175045775974592
HABERMAN (2),KNN,AUC,0.9198131607671916,0.9178653932117056,0.9287668607169464,0.9618023632551934
HABERMAN (2),KNN,F-SCORE,0.502329043505514,0.6174883449883449,0.5842921445026708,0.6096688520289436
HABERMAN (2),KNN,G-MEAN,0.6285770952393911,0.8730387314965832,0.8937459913401198,0.9172007091844994
HABERMAN (2),DT,AUC,0.9256920629970372,0.9318007796663028,0.9236269643259352,0.9653891470450646
HABERMAN (2),DT,F-SCORE,0.5441212121212121,0.62350446223097,0.6206983584398018,0.6489007202555589
HABERMAN (2),DT,G-MEAN,0.6850604924353682,0.9215414552610198,0.9073670701904284,0.9416659730752572
HABERMAN (2),GBC,AUC,0.9603648665038028,0.9597071296151912,0.9704994888854236,0.9770532096262801
HABERMAN (2),GBC,F-SCORE,0.5769178832863043,0.6396663026916881,0.6085202035557767,0.6673852142099838
HABERMAN (2),GBC,G-MEAN,0.7320639218331958,0.9045664881485322,0.8633680330200799,0.9374094455293506
PIMA (3),LR,AUC,0.9880190232302908,0.988471231428978,0.9898024510700566,0.9920177631445236
PIMA (3),LR,F-SCORE,0.8644817623690862,0.8581313420998592,0.8454496208017335,0.8851103099238973
PIMA (3),LR,G-MEAN,0.8944742196116183,0.9039354034400549,0.8906134138870394,0.9382453270705
PIMA (3),KNN,AUC,0.8451390159136638,0.8174908034062964,0.8606639839034206,0.8616369936792472
PIMA (3),KNN,F-SCORE,0.7113037197544241,0.5558878040253132,0.6134449175062047,0.6881218937556964
PIMA (3),KNN,G-MEAN,0.7715378428842479,0.709151562470605,0.7540466197813626,0.7800022155382694
PIMA (3),DT,AUC,0.9161407840985306,0.8997495071438734,0.8928800073166271,0.940712456557527
PIMA (3),DT,F-SCORE,0.8865113759479956,0.8619264147433159,0.8459612375105333,0.8975650327763004
PIMA (3),DT,G-MEAN,0.9111234312107758,0.8930466243612128,0.8880067195367527,0.930362768700114
PIMA (3),GBC,AUC,0.9839339064691178,0.943600999939028,0.958950673739406,0.9986687803589211
PIMA (3),GBC,F-SCORE,0.9330985915492956,0.8720898037799446,0.8765324659690856,0.9450179710743092
PIMA (3),GBC,G-MEAN,0.9378436092924328,0.8991510106174398,0.8998523775060896,0.9581828121289028
