Dataset,Oversampler,Classifier,Metric,Score
YEAST 4 (3),K-MEANS SMOTE,GBC,mean_test_f1,0.34947126436781606
YEAST 4 (3),K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.6381941494674876
PIMA (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8016414510516071
PIMA (2),NO OVERSAMPLING,LR,mean_test_f1,0.31597564474481177
PIMA (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.45348635989693337
PIMA (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.712871853525114
PIMA (2),NO OVERSAMPLING,KNN,mean_test_f1,0.34751889580236034
PIMA (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.5145949505510317
PIMA (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.7771409697903168
PIMA (2),NO OVERSAMPLING,DT,mean_test_f1,0.4060304211858996
PIMA (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.5675675785649728
PIMA (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8317741586738239
PIMA (2),NO OVERSAMPLING,GBC,mean_test_f1,0.47272761415221326
PIMA (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6112994739391886
PIMA (2),SMOTE,LR,mean_test_roc_auc,0.8215209380808891
PIMA (2),SMOTE,LR,mean_test_f1,0.5663600102170793
PIMA (2),SMOTE,LR,mean_test_geometric_mean_score,0.7522607663379244
PIMA (2),SMOTE,KNN,mean_test_roc_auc,0.7137964979132643
PIMA (2),SMOTE,KNN,mean_test_f1,0.4539876563853944
PIMA (2),SMOTE,KNN,mean_test_geometric_mean_score,0.6619207068249824
PIMA (2),SMOTE,DT,mean_test_roc_auc,0.7644127778801737
PIMA (2),SMOTE,DT,mean_test_f1,0.5080597116076278
PIMA (2),SMOTE,DT,mean_test_geometric_mean_score,0.7074521556907205
PIMA (2),SMOTE,GBC,mean_test_roc_auc,0.822406408847778
PIMA (2),SMOTE,GBC,mean_test_f1,0.5286564992371183
PIMA (2),SMOTE,GBC,mean_test_geometric_mean_score,0.7004255850560782
PIMA (2),K-MEANS SMOTE,LR,mean_test_roc_auc,0.819824016962496
PIMA (2),K-MEANS SMOTE,LR,mean_test_f1,0.5695159070639209
PIMA (2),K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.7555638077259532
PIMA (2),K-MEANS SMOTE,KNN,mean_test_roc_auc,0.7242881797845493
PIMA (2),K-MEANS SMOTE,KNN,mean_test_f1,0.4580505004417461
PIMA (2),K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.6667278818273245
PIMA (2),K-MEANS SMOTE,DT,mean_test_roc_auc,0.778819057185081
PIMA (2),K-MEANS SMOTE,DT,mean_test_f1,0.5219570036538912
PIMA (2),K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.7153754945774642
