Dataset,Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
YEAST 3 (2),DT,GEOMETRIC MEAN SCORE,0.8388117837981387,0.9264160083298962,0.919962509063665
YEAST 3 (2),GBC,ROC AUC,0.9604120283252136,0.9591080080355605,0.9657951522660102
YEAST 3 (2),GBC,F1,0.6793323909829206,0.6921116165648051,0.7058000426495348
YEAST 3 (2),GBC,GEOMETRIC MEAN SCORE,0.8082591919158332,0.8990802835504744,0.8987713104407111
YEAST 3,LR,ROC AUC,0.9641647128916093,0.9645861312207096,0.9660927380086506
YEAST 3,LR,F1,0.08064169400613325,0.6746577936177287,0.7144676399642855
YEAST 3,LR,GEOMETRIC MEAN SCORE,0.19957681863972115,0.8983254690180368,0.8975693103602056
YEAST 3,KNN,ROC AUC,0.9287741718021849,0.9283305703472001,0.932563380946732
YEAST 3,KNN,F1,0.7106815098823978,0.6979600878062077,0.7406530645677536
YEAST 3,KNN,GEOMETRIC MEAN SCORE,0.8004795025617789,0.8919337876958062,0.8895785239023856
YEAST 3,DT,ROC AUC,0.9484849856588883,0.9465640551021519,0.9529186618833327
YEAST 3,DT,F1,0.7336229912602455,0.7627627317472407,0.7825305025299867
YEAST 3,DT,GEOMETRIC MEAN SCORE,0.8300614593025912,0.9224274047949437,0.9262483319838899
YEAST 3,GBC,ROC AUC,0.9599725202776801,0.967072745812638,0.9639434170166745
YEAST 3,GBC,F1,0.727986692175687,0.7908246765287503,0.7885223466962148
YEAST 3,GBC,GEOMETRIC MEAN SCORE,0.8207164146073769,0.9191851747843485,0.9138791777596562
HABERMAN,LR,ROC AUC,0.6837037037037036,0.6877366255144033,0.7114403292181068
HABERMAN,LR,F1,0.2570974298452662,0.4807766160083422,0.5376746710080043
HABERMAN,LR,GEOMETRIC MEAN SCORE,0.3940221723084558,0.6252661598025009,0.6759732298995996
HABERMAN,KNN,ROC AUC,0.6296296296296295,0.6229629629629629,0.645679012345679
HABERMAN,KNN,F1,0.3516042780748663,0.4239235297044628,0.45198915476808355
HABERMAN,KNN,GEOMETRIC MEAN SCORE,0.5068586188674743,0.5845483809297831,0.6085396617919667
HABERMAN,DT,ROC AUC,0.6186831275720164,0.6512757201646091,0.6549794238683128
HABERMAN,DT,F1,0.29062842158139857,0.4740380535350047,0.4824354441605116
HABERMAN,DT,GEOMETRIC MEAN SCORE,0.45897575018906,0.6204231092415249,0.6272968672980108
HABERMAN,GBC,ROC AUC,0.6074897119341564,0.6423456790123456,0.6308230452674897
HABERMAN,GBC,F1,0.32032677884918387,0.4064778098942584,0.3679910484995231
HABERMAN,GBC,GEOMETRIC MEAN SCORE,0.47338574982847986,0.5629227248730155,0.5344446113628507
PAGE BLOCKS 0 (2),LR,ROC AUC,0.9250823933947895,0.9516483425272817,0.951196948223365
PAGE BLOCKS 0 (2),LR,F1,0.4128494041929915,0.5515210870313296,0.6675325663005041
PAGE BLOCKS 0 (2),LR,GEOMETRIC MEAN SCORE,0.5430465994218615,0.8929366195380313,0.8972094202336266
PAGE BLOCKS 0 (2),KNN,ROC AUC,0.9040628360530651,0.9418599670363792,0.9040628360530651
PAGE BLOCKS 0 (2),KNN,F1,0.6858912048394736,0.6497651484796753,0.7158621960317542
PAGE BLOCKS 0 (2),KNN,GEOMETRIC MEAN SCORE,0.7606710745114973,0.896441024853031,0.8543279839341064
