Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
HABERMAN,DT,GEOMETRIC MEAN SCORE,0.45897575018906,0.5662009473871015,0.6180638105183709
HABERMAN,GBC,ROC AUC,0.6074897119341564,0.5979835390946502,0.6328806584362139
HABERMAN,GBC,F1,0.32032677884918387,0.3356504617143422,0.3856737527052164
HABERMAN,GBC,GEOMETRIC MEAN SCORE,0.47338574982847986,0.5055259747557848,0.5344446113628507
PAGE BLOCKS 0 (2),LR,ROC AUC,0.9250823933947895,0.9527060006051438,0.951196948223365
PAGE BLOCKS 0 (2),LR,F1,0.4128494041929915,0.5514639600735827,0.6661473887081393
PAGE BLOCKS 0 (2),LR,GEOMETRIC MEAN SCORE,0.5430465994218615,0.8873323748230986,0.8972094202336266
PAGE BLOCKS 0 (2),KNN,ROC AUC,0.9040628360530651,0.9009632009645339,0.9040628360530651
PAGE BLOCKS 0 (2),KNN,F1,0.6858912048394736,0.6706226966893407,0.7069167073635101
PAGE BLOCKS 0 (2),KNN,GEOMETRIC MEAN SCORE,0.7606710745114973,0.8551852036928118,0.8543279839341064
PAGE BLOCKS 0 (2),DT,ROC AUC,0.8962730666947736,0.9352657598743074,0.941560913063231
PAGE BLOCKS 0 (2),DT,F1,0.7649290289721109,0.7233937499907028,0.7744085828575047
PAGE BLOCKS 0 (2),DT,GEOMETRIC MEAN SCORE,0.8525516528644872,0.9057513452495966,0.9063767181685345
PAGE BLOCKS 0 (2),GBC,ROC AUC,0.9850477912787494,0.9832208162472602,0.9862537334121871
PAGE BLOCKS 0 (2),GBC,F1,0.7884164839453167,0.7843653329260419,0.8122855402526981
PAGE BLOCKS 0 (2),GBC,GEOMETRIC MEAN SCORE,0.8758471690677583,0.9376588045602416,0.9352901170708732
EUCALYPTUS,LR,ROC AUC,0.8643324551610876,0.8935174880149741,0.8943525216357227
EUCALYPTUS,LR,F1,0.26686645601012043,0.523784273162525,0.5500645330788422
EUCALYPTUS,LR,GEOMETRIC MEAN SCORE,0.39634658784494425,0.7884907412944335,0.8061382588330456
EUCALYPTUS,KNN,ROC AUC,0.7350910658276281,0.7488608263097407,0.749420329554627
EUCALYPTUS,KNN,F1,0.32957276368491323,0.4295725921017013,0.4346866042369547
EUCALYPTUS,KNN,GEOMETRIC MEAN SCORE,0.49548293527141213,0.6942471392832164,0.6987197981816691
EUCALYPTUS,DT,ROC AUC,0.83340364620377,0.8279328668432879,0.8371661666610871
EUCALYPTUS,DT,F1,0.44589607692411426,0.49884723490128424,0.5357469826432579
EUCALYPTUS,DT,GEOMETRIC MEAN SCORE,0.5953866832090302,0.7754508941061289,0.7841652501597032
EUCALYPTUS,GBC,ROC AUC,0.8861783628025818,0.8881164837579906,0.8913298549765382
EUCALYPTUS,GBC,F1,0.527892223518489,0.5618084399539867,0.5993286816411041
EUCALYPTUS,GBC,GEOMETRIC MEAN SCORE,0.6638599146536004,0.7629751533018283,0.7666153539919424
YEAST 1,LR,ROC AUC,0.782120029908945,0.7857910700628862,0.7883073098285363
YEAST 1,LR,F1,0.3365738597157754,0.577136405319076,0.5893563539772684
YEAST 1,LR,GEOMETRIC MEAN SCORE,0.4635844382378599,0.7016993504012822,0.7117463060602695
YEAST 1,KNN,ROC AUC,0.7676387559200059,0.7598959773193263,0.7688038275818347
YEAST 1,KNN,F1,0.5230354255110976,0.5799147098327313,0.5899997858755794
YEAST 1,KNN,GEOMETRIC MEAN SCORE,0.6398327097631015,0.704574676520825,0.711518675015718
YEAST 1,DT,ROC AUC,0.7368340148779418,0.7327318634806841,0.7489583990542128
YEAST 1,DT,F1,0.48608927535997076,0.5533405098985806,0.5741242873591581
YEAST 1,DT,GEOMETRIC MEAN SCORE,0.6091377653679785,0.6787029509359433,0.6957948755605574
YEAST 1,GBC,ROC AUC,0.8009779899520466,0.8028282699568077,0.8060727284267969
YEAST 1,GBC,F1,0.5419460791899546,0.5927072325111342,0.6059963347012666
YEAST 1,GBC,GEOMETRIC MEAN SCORE,0.6469674885294218,0.7127966993325541,0.7219355066376574
BREAST TISSUE (2),LR,ROC AUC,0.7956809947299077,0.7778429677206852,0.8550209980237156
BREAST TISSUE (2),LR,F1,0.3778409090909091,0.524801997245179,0.5450320512820512
BREAST TISSUE (2),LR,GEOMETRIC MEAN SCORE,0.5219375144083626,0.6854607581453983,0.6980179475937345
BREAST TISSUE (2),KNN,ROC AUC,0.6856472332015809,0.6690135046113307,0.6856472332015809
BREAST TISSUE (2),KNN,F1,0.38331668331668334,0.44457644628099174,0.4756493506493506
BREAST TISSUE (2),KNN,GEOMETRIC MEAN SCORE,0.5363949818311687,0.6387545668981167,0.6622063310421247
BREAST TISSUE (2),DT,ROC AUC,0.7827785326086957,0.7674520339262187,0.7678534667325427
BREAST TISSUE (2),DT,F1,0.5069362455726091,0.5570618078094154,0.5877577385849444
BREAST TISSUE (2),DT,GEOMETRIC MEAN SCORE,0.6596034528480513,0.7420701847151063,0.7332165621184631
BREAST TISSUE (2),GBC,ROC AUC,0.8060873682476943,0.8198493083003953,0.8387012104743082
BREAST TISSUE (2),GBC,F1,0.5069362455726091,0.4451520070838253,0.5069362455726091
BREAST TISSUE (2),GBC,GEOMETRIC MEAN SCORE,0.6596034528480513,0.6297326968986818,0.6596034528480513
YEAST 6 (2),LR,ROC AUC,0.9505137852044548,0.9580095695671944,0.9643145246710108
YEAST 6 (2),LR,F1,0.0,0.18251773880073308,0.25664460493254776
YEAST 6 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.9176685424093807,0.9364309234280729
YEAST 6 (2),KNN,ROC AUC,0.8481651738932715,0.8464976316168557,0.8481651738932715
YEAST 6 (2),KNN,F1,0.4403168455010201,0.4073821433985144,0.5248511692414931
YEAST 6 (2),KNN,GEOMETRIC MEAN SCORE,0.6174638534166441,0.8334099762803904,0.8365474789953775
YEAST 6 (2),DT,ROC AUC,0.8305937340236529,0.8686003872454731,0.8880270958849166
YEAST 6 (2),DT,F1,0.3333333333333333,0.4647017994388105,0.46957841799748556
YEAST 6 (2),DT,GEOMETRIC MEAN SCORE,0.4812250806275995,0.8592051135544916,0.8803299370459011
YEAST 6 (2),GBC,ROC AUC,0.9447323599942379,0.9551780665406919,0.9615704766988947
YEAST 6 (2),GBC,F1,0.2099280891913907,0.4533751268871159,0.43827026035516525
YEAST 6 (2),GBC,GEOMETRIC MEAN SCORE,0.4009200828992513,0.8130774350451793,0.8124901182104118
VOWEL (2),LR,ROC AUC,0.9463225716450853,0.9720109567534528,0.9723449793171772
VOWEL (2),LR,F1,0.7602077138132282,0.5999038009075248,0.7602077138132282
VOWEL (2),LR,GEOMETRIC MEAN SCORE,0.8198275577066167,0.9079571457843212,0.8993889046036725
VOWEL (2),KNN,ROC AUC,0.910574348807324,0.9110197654252244,0.9110197654252244
VOWEL (2),KNN,F1,0.6486006731522892,0.8964062684105102,0.8964062684105102
VOWEL (2),KNN,GEOMETRIC MEAN SCORE,0.6941196318340807,0.9037434404934036,0.9037434404934036
VOWEL (2),DT,ROC AUC,0.928914367557228,0.9561990658150002,0.9583507414251109
VOWEL (2),DT,F1,0.8436712505273719,0.7852982580169052,0.9063822558626272
VOWEL (2),DT,GEOMETRIC MEAN SCORE,0.9242354809849211,0.9550689114187526,0.9571511764460374
VOWEL (2),GBC,ROC AUC,0.998292564705493,0.9975873035013613,0.9987007948020443
VOWEL (2),GBC,F1,0.9290048917319467,0.8319564387080123,0.9171524387294943
VOWEL (2),GBC,GEOMETRIC MEAN SCORE,0.9695734161058358,0.9236684507320694,0.9580964168063453
NEW THYROID 2,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 2,LR,F1,0.9378015311281237,0.9598817764641829,0.9598817764641829
NEW THYROID 2,LR,GEOMETRIC MEAN SCORE,0.9523705877559329,0.9916078003398072,0.9916078003398072
NEW THYROID 2,KNN,ROC AUC,0.9857963354474982,0.9859214235377026,0.986046511627907
NEW THYROID 2,KNN,F1,0.8961473451069535,0.941802739222355,0.941802739222355
NEW THYROID 2,KNN,GEOMETRIC MEAN SCORE,0.9055197775623588,0.9683056775175816,0.9759254585293994
NEW THYROID 2,DT,ROC AUC,0.9284760394644116,0.9568217054263566,0.9484496124031008
NEW THYROID 2,DT,F1,0.8651582444483301,0.9221267273340075,0.9187681159420289
NEW THYROID 2,DT,GEOMETRIC MEAN SCORE,0.9219169582858902,0.955854287509405,0.946852213021344
NEW THYROID 2,GBC,ROC AUC,0.9949400986610288,0.9930602536997886,0.9969415081042987
NEW THYROID 2,GBC,F1,0.9154047859791035,0.9272615436467813,0.9300134816312773
NEW THYROID 2,GBC,GEOMETRIC MEAN SCORE,0.9599106957769888,0.9502647003454638,0.9632524243052284
NEW THYROID 1,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 1,LR,F1,0.9856420626895854,0.9598817764641829,0.9856420626895854
