Dataset,Oversampler,Classifier,Metric,Score
SEGMENTATION,RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9873478054653873
SEGMENTATION,RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.9896590909090909
SEGMENTATION,RANDOM OVERSAMPLING,DT,mean_test_f1,0.97053616048212
SEGMENTATION,RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9848815236477253
SEGMENTATION,RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9994972451790634
SEGMENTATION,RANDOM OVERSAMPLING,GBC,mean_test_f1,0.9863411900907268
SEGMENTATION,RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9913701674743693
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.9998186409550046
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9950657589801617
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9965025252525253
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_f1,0.9452405831716176
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9878579048115491
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.989385904499541
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,DT,mean_test_f1,0.9757100064812574
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9863853222590324
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9996877869605142
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_f1,0.9878224920204592
SEGMENTATION,K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9921419387600858
YEAST 4 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8763980439716197
YEAST 4 (3),NO OVERSAMPLING,LR,mean_test_f1,0.0
YEAST 4 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.0
YEAST 4 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.7714947150513582
YEAST 4 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.06648275862068967
YEAST 4 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.14803534313232042
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.8364225853705602
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_f1,0.22763175521796208
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.3831968901941373
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8789020978576789
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.3250368405540819
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.44519149099874955
YEAST 4 (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.8874501433265367
YEAST 4 (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.1360390327856112
YEAST 4 (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.839355995254067
YEAST 4 (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.7714580862512087
YEAST 4 (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.2502410509031199
YEAST 4 (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.6309276377167037
YEAST 4 (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.7122753617796507
YEAST 4 (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.1744020719024924
YEAST 4 (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.6585444269865401
YEAST 4 (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.8475484631832132
YEAST 4 (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.3328407224958949
YEAST 4 (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.5792826714968538
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.8899761331144642
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_f1,0.1400985988429862
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.8411525774076701
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.7731115430416682
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_f1,0.25629981647831546
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.6309276377167037
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.8364225853705602
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_f1,0.2852873563218391
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.7300123139009536
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.8760563681476017
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_f1,0.34152380952380956
YEAST 4 (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6381941494674876
PIMA (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8016414510516071
PIMA (2),NO OVERSAMPLING,LR,mean_test_f1,0.31597564474481177
PIMA (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.45348635989693337
PIMA (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.712871853525114
PIMA (2),NO OVERSAMPLING,KNN,mean_test_f1,0.34751889580236034
PIMA (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.5145949505510317
PIMA (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.7771409697903168
PIMA (2),NO OVERSAMPLING,DT,mean_test_f1,0.4060304211858996
PIMA (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.5675675785649728
PIMA (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8317741586738239
PIMA (2),NO OVERSAMPLING,GBC,mean_test_f1,0.47272761415221326
PIMA (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6112994739391886
PIMA (2),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.8152511917229726
PIMA (2),RANDOM OVERSAMPLING,LR,mean_test_f1,0.5636385561738348
PIMA (2),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.7477042167468724
PIMA (2),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.7021462277068389
