Dataset,Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
YEAST 3 (2),GBC,F1,0.6793323909829206,0.6886512031328156,0.7154092692687735
YEAST 3 (2),GBC,GEOMETRIC MEAN SCORE,0.8082591919158332,0.8774852099131503,0.8985539023315053
YEAST 3,LR,ROC AUC,0.9641647128916093,0.9607303003493318,0.9656950577339487
YEAST 3,LR,F1,0.08064169400613325,0.6256211254188626,0.7155726382814969
YEAST 3,LR,GEOMETRIC MEAN SCORE,0.19957681863972115,0.898446366633035,0.8973875485289937
YEAST 3,KNN,ROC AUC,0.9287741718021849,0.9229847866002563,0.9287741718021849
YEAST 3,KNN,F1,0.7106815098823978,0.6952085618343062,0.7290379151654228
YEAST 3,KNN,GEOMETRIC MEAN SCORE,0.8004795025617789,0.8829794558434896,0.8895785239023856
YEAST 3,DT,ROC AUC,0.9484849856588883,0.9520353504909002,0.9499975198702095
YEAST 3,DT,F1,0.7336229912602455,0.7676611227725911,0.7805257491439355
YEAST 3,DT,GEOMETRIC MEAN SCORE,0.8300614593025912,0.9273384033493799,0.9188996938819689
YEAST 3,GBC,ROC AUC,0.9599725202776801,0.966173338754081,0.9648822946028857
YEAST 3,GBC,F1,0.727986692175687,0.7881375287354434,0.7890666932848995
YEAST 3,GBC,GEOMETRIC MEAN SCORE,0.8207164146073769,0.9213409330952299,0.9163904147688644
HABERMAN,LR,ROC AUC,0.6837037037037036,0.6896296296296296,0.696872427983539
HABERMAN,LR,F1,0.2570974298452662,0.5011163969179111,0.5246913580246914
HABERMAN,LR,GEOMETRIC MEAN SCORE,0.3940221723084558,0.6487355303485312,0.6636782884191809
HABERMAN,KNN,ROC AUC,0.6296296296296295,0.6248559670781894,0.6413580246913579
HABERMAN,KNN,F1,0.3516042780748663,0.4287363932811153,0.45372967063667136
HABERMAN,KNN,GEOMETRIC MEAN SCORE,0.5068586188674743,0.5875173963467641,0.603702243816145
HABERMAN,DT,ROC AUC,0.6186831275720164,0.6732921810699588,0.6539506172839507
HABERMAN,DT,F1,0.29062842158139857,0.4788686250293086,0.4754635582686272
HABERMAN,DT,GEOMETRIC MEAN SCORE,0.45897575018906,0.6280699989255583,0.6264842053982554
HABERMAN,GBC,ROC AUC,0.6074897119341564,0.6418930041152264,0.6239506172839506
HABERMAN,GBC,F1,0.32032677884918387,0.42131125907934447,0.36994108648243984
