Dataset,Oversampler,Classifier,Metric,Score
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.8364225853705602
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_f1,0.22763175521796208
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.3831968901941373
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8789020978576789
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.3250368405540819
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.44519149099874955
YEAST 4 (3),BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.887583809500476
YEAST 4 (3),BORDERLINE-SMOTE,LR,mean_test_f1,0.17327047276242324
YEAST 4 (3),BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.8272452201199731
YEAST 4 (3),BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.7690211328377021
YEAST 4 (3),BORDERLINE-SMOTE,KNN,mean_test_f1,0.23742330116992788
YEAST 4 (3),BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.6030929090748418
YEAST 4 (3),BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.7990879928447132
YEAST 4 (3),BORDERLINE-SMOTE,DT,mean_test_f1,0.3029791029297382
YEAST 4 (3),BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.7063714852072415
YEAST 4 (3),BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.9014935656563181
YEAST 4 (3),BORDERLINE-SMOTE,GBC,mean_test_f1,0.28034482758620693
YEAST 4 (3),BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.547565513527442
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.8894883141308743
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_f1,0.14079629570351115
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.8415842867495453
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.7739941441347429
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_f1,0.2509896648314498
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.6309276377167037
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.8364225853705602
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_f1,0.27790038314176246
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.6974854318604208
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.8775959008338257
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_f1,0.3522528735632184
YEAST 4 (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.6682161742624262
PIMA (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8016414510516071
PIMA (2),NO OVERSAMPLING,LR,mean_test_f1,0.31597564474481177
PIMA (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.45348635989693337
PIMA (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.712871853525114
PIMA (2),NO OVERSAMPLING,KNN,mean_test_f1,0.34751889580236034
PIMA (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.5145949505510317
PIMA (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.7771409697903168
PIMA (2),NO OVERSAMPLING,DT,mean_test_f1,0.4060304211858996
PIMA (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.5675675785649728
PIMA (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8317741586738239
PIMA (2),NO OVERSAMPLING,GBC,mean_test_f1,0.47272761415221326
PIMA (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6112994739391886
PIMA (2),BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.8169086308413953
PIMA (2),BORDERLINE-SMOTE,LR,mean_test_f1,0.5814316038320404
PIMA (2),BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.764932642262923
PIMA (2),BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.7154131727001736
PIMA (2),BORDERLINE-SMOTE,KNN,mean_test_f1,0.4630297462817148
PIMA (2),BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.6703216048944012
PIMA (2),BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.7685674796910593
PIMA (2),BORDERLINE-SMOTE,DT,mean_test_f1,0.5334128043498354
PIMA (2),BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.7209143558685935
PIMA (2),BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.8218739828860533
PIMA (2),BORDERLINE-SMOTE,GBC,mean_test_f1,0.5458037490162517
PIMA (2),BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.7135184408116539
PIMA (2),K-MEANS BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.819824016962496
PIMA (2),K-MEANS BORDERLINE-SMOTE,LR,mean_test_f1,0.5672174293647523
PIMA (2),K-MEANS BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.7555638077259532
PIMA (2),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.7263086913741117
