Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
EUCALYPTUS,GBC,ROC AUC,2.0,3.0,4.0,1.0
EUCALYPTUS,GBC,F1,2.0,4.0,3.0,1.0
EUCALYPTUS,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 1,LR,ROC AUC,4.0,2.0,3.0,1.0
YEAST 1,LR,F1,4.0,1.0,2.0,3.0
YEAST 1,LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 1,KNN,ROC AUC,2.0,4.0,3.0,1.0
YEAST 1,KNN,F1,4.0,1.0,3.0,2.0
YEAST 1,KNN,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
YEAST 1,DT,ROC AUC,4.0,3.0,2.0,1.0
YEAST 1,DT,F1,4.0,2.0,1.0,3.0
YEAST 1,DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 1,GBC,ROC AUC,2.0,3.0,4.0,1.0
YEAST 1,GBC,F1,4.0,1.0,2.0,3.0
YEAST 1,GBC,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
BREAST TISSUE (2),LR,ROC AUC,2.0,4.0,3.0,1.0
BREAST TISSUE (2),LR,F1,4.0,2.0,1.0,3.0
BREAST TISSUE (2),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
BREAST TISSUE (2),KNN,ROC AUC,4.0,3.0,1.0,2.0
BREAST TISSUE (2),KNN,F1,3.0,4.0,2.0,1.0
BREAST TISSUE (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
BREAST TISSUE (2),DT,ROC AUC,2.0,4.0,3.0,1.0
BREAST TISSUE (2),DT,F1,2.0,4.0,3.0,1.0
BREAST TISSUE (2),DT,GEOMETRIC MEAN SCORE,1.0,4.0,3.0,2.0
BREAST TISSUE (2),GBC,ROC AUC,3.0,2.0,4.0,1.0
BREAST TISSUE (2),GBC,F1,4.0,2.0,3.0,1.0
BREAST TISSUE (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 6 (2),LR,ROC AUC,4.0,3.0,2.0,1.0
YEAST 6 (2),LR,F1,4.0,3.0,2.0,1.0
YEAST 6 (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 6 (2),KNN,ROC AUC,3.0,2.0,4.0,1.0
YEAST 6 (2),KNN,F1,3.0,2.0,4.0,1.0
YEAST 6 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 6 (2),DT,ROC AUC,4.0,3.0,2.0,1.0
YEAST 6 (2),DT,F1,2.0,3.0,4.0,1.0
YEAST 6 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 6 (2),GBC,ROC AUC,2.0,4.0,3.0,1.0
YEAST 6 (2),GBC,F1,4.0,2.0,3.0,1.0
YEAST 6 (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
VOWEL (2),LR,ROC AUC,4.0,1.0,2.0,3.0
VOWEL (2),LR,F1,2.0,3.0,4.0,1.0
VOWEL (2),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
VOWEL (2),KNN,ROC AUC,3.5,3.5,2.0,1.0
VOWEL (2),KNN,F1,4.0,2.0,1.0,3.0
VOWEL (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
