Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
YEAST 4 (3),KNN,GEOMETRIC MEAN SCORE,0.0,0.4746959900278936,0.6784656363173053,0.5859670880167727
YEAST 4 (3),DT,ROC AUC,0.8109401337593355,0.7860626002884982,0.8558976754090257,0.8706134883927737
YEAST 4 (3),DT,F1,0.12609961685823753,0.16296162468896536,0.1713753806857255,0.3717512614427315
YEAST 4 (3),DT,GEOMETRIC MEAN SCORE,0.2714695007046315,0.7567514985013092,0.7917509083573491,0.6697292627739408
YEAST 4 (3),GBC,ROC AUC,0.8979902056418962,0.7381935665939825,0.8242819574923468,0.9063553896192085
YEAST 4 (3),GBC,F1,0.13419157088122607,0.1614778325123153,0.3112886424987418,0.3068418171866447
YEAST 4 (3),GBC,GEOMETRIC MEAN SCORE,0.27168425233330484,0.2997284986665021,0.5347842488202987,0.5006910140748937
PIMA (2),LR,ROC AUC,0.8078236511943903,0.8241264786104241,0.8196716493045881,0.8050117183909442
PIMA (2),LR,F1,0.37423752459445214,0.5500553331130121,0.5593757966798492,0.5469710576922763
PIMA (2),LR,GEOMETRIC MEAN SCORE,0.5027706298400157,0.7399000384448153,0.7427450805626938,0.7130002204895731
PIMA (2),KNN,ROC AUC,0.7430730140768331,0.7330413784694986,0.7508036337251529,0.7696219038896674
PIMA (2),KNN,F1,0.34726247458231907,0.47048683519877926,0.48426280084273327,0.4962307146952526
PIMA (2),KNN,GEOMETRIC MEAN SCORE,0.5111135899803434,0.6751754914173671,0.6855511558611859,0.6656789358750905
PIMA (2),DT,ROC AUC,0.7990452237972158,0.774946588569461,0.7841724520417528,0.7800344824547993
PIMA (2),DT,F1,0.49864155025348034,0.5200523206587583,0.5374204431658236,0.5344592108701952
PIMA (2),DT,GEOMETRIC MEAN SCORE,0.631783326533422,0.7226628216036917,0.7381089048101382,0.6925228172066931
PIMA (2),GBC,ROC AUC,0.8417859913673011,0.8395940259781082,0.8378550653405668,0.8504852833107348
PIMA (2),GBC,F1,0.5097955106916727,0.5590325387818149,0.5534034141406976,0.5617509619429952
PIMA (2),GBC,GEOMETRIC MEAN SCORE,0.6452502536966762,0.720774636009639,0.7206105986821639,0.703423801220279
GLASS,LR,ROC AUC,0.8108619463632669,0.8099773127454963,0.8133867499661385,0.8212320533658404
GLASS,LR,F1,0.49417937366781434,0.6488631733919853,0.6558528678597484,0.6740490431467854
GLASS,LR,GEOMETRIC MEAN SCORE,0.6030561518461056,0.72830510221943,0.7365513017575666,0.754942271987068
GLASS,KNN,ROC AUC,0.867205488961127,0.8739174878098334,0.8658806548828388,0.8826421339563864
GLASS,KNN,F1,0.7186232861878821,0.7402543962405386,0.7309545394640649,0.7526016533300754
