Dataset,Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
PAGE BLOCKS 0 (2),GBC,F1,0.7884164839453167,0.8019806562917761,0.8204604143609623
PAGE BLOCKS 0 (2),GBC,GEOMETRIC MEAN SCORE,0.8758471690677583,0.9452873318608768,0.9380849121352771
EUCALYPTUS,LR,ROC AUC,0.8643324551610876,0.8923814033278585,0.8965278821699376
EUCALYPTUS,LR,F1,0.26686645601012043,0.5409418265367534,0.552365067298663
EUCALYPTUS,LR,GEOMETRIC MEAN SCORE,0.39634658784494425,0.8002912829538299,0.8033252078603248
EUCALYPTUS,KNN,ROC AUC,0.7350910658276281,0.7661487811021328,0.7542460803537151
EUCALYPTUS,KNN,F1,0.32957276368491323,0.45919227956040537,0.44394593794323034
EUCALYPTUS,KNN,GEOMETRIC MEAN SCORE,0.49548293527141213,0.7120932541259899,0.7046055388635395
EUCALYPTUS,DT,ROC AUC,0.83340364620377,0.8365765394451836,0.8414150732912591
EUCALYPTUS,DT,F1,0.44589607692411426,0.5310992768242502,0.5336727806844319
EUCALYPTUS,DT,GEOMETRIC MEAN SCORE,0.5953866832090302,0.7711068269729537,0.7782356986797874
EUCALYPTUS,GBC,ROC AUC,0.8861783628025818,0.8775441199954386,0.8899744441706123
EUCALYPTUS,GBC,F1,0.527892223518489,0.5616318693235093,0.5939027426910162
EUCALYPTUS,GBC,GEOMETRIC MEAN SCORE,0.6638599146536004,0.7470493856797678,0.7703774295631922
YEAST 1,LR,ROC AUC,0.782120029908945,0.7867121822752718,0.788419395288499
YEAST 1,LR,F1,0.3365738597157754,0.5859832815099766,0.5897408881810298
YEAST 1,LR,GEOMETRIC MEAN SCORE,0.4635844382378599,0.7089743630750327,0.7119820871548037
YEAST 1,KNN,ROC AUC,0.7676387559200059,0.7702182418058008,0.775825941288795
YEAST 1,KNN,F1,0.5230354255110976,0.5923895617196724,0.593996467096249
YEAST 1,KNN,GEOMETRIC MEAN SCORE,0.6398327097631015,0.7127958983056506,0.7144861313062567
YEAST 1,DT,ROC AUC,0.7368340148779418,0.7455717394175532,0.7578971490380688
YEAST 1,DT,F1,0.48608927535997076,0.5658949913704581,0.591805512780071
YEAST 1,DT,GEOMETRIC MEAN SCORE,0.6091377653679785,0.6891054776133907,0.7110194168364203
YEAST 1,GBC,ROC AUC,0.8009779899520466,0.8058380339851448,0.8073297370540885
YEAST 1,GBC,F1,0.5419460791899546,0.5991096859955238,0.6087129417470607
YEAST 1,GBC,GEOMETRIC MEAN SCORE,0.6469674885294218,0.7183762283208919,0.7247827423624649
BREAST TISSUE (2),LR,ROC AUC,0.7956809947299077,0.8513669301712781,0.8668375329380765
BREAST TISSUE (2),LR,F1,0.3778409090909091,0.5839143929841932,0.6363910299186979
BREAST TISSUE (2),LR,GEOMETRIC MEAN SCORE,0.5219375144083626,0.7731729616614303,0.7883980632766258
BREAST TISSUE (2),KNN,ROC AUC,0.6856472332015809,0.7054100790513833,0.6856472332015809
BREAST TISSUE (2),KNN,F1,0.38331668331668334,0.5176295295613478,0.49961629279811093
BREAST TISSUE (2),KNN,GEOMETRIC MEAN SCORE,0.5363949818311687,0.6872367043114613,0.6686443094753958
BREAST TISSUE (2),DT,ROC AUC,0.7827785326086957,0.8009459403820817,0.7958559782608696
BREAST TISSUE (2),DT,F1,0.5069362455726091,0.5756739068465073,0.600562358207746
BREAST TISSUE (2),DT,GEOMETRIC MEAN SCORE,0.6596034528480513,0.7554096833227262,0.734626197887979
BREAST TISSUE (2),GBC,ROC AUC,0.8060873682476943,0.8683815052700923,0.868355772397892
BREAST TISSUE (2),GBC,F1,0.5069362455726091,0.5780072200526745,0.5759007091393455
BREAST TISSUE (2),GBC,GEOMETRIC MEAN SCORE,0.6596034528480513,0.7082780146751895,0.7321795861267715
YEAST 6 (2),LR,ROC AUC,0.9505137852044548,0.9587790469411561,0.9643720748279144
YEAST 6 (2),LR,F1,0.0,0.19044777887912548,0.258969061130301
YEAST 6 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.9201745026432542,0.9364309234280729
YEAST 6 (2),KNN,ROC AUC,0.8481651738932715,0.8824295134151887,0.9112854445414206
YEAST 6 (2),KNN,F1,0.4403168455010201,0.4157925975797735,0.5248511692414931
YEAST 6 (2),KNN,GEOMETRIC MEAN SCORE,0.6174638534166441,0.8623370383675868,0.8365474789953775
YEAST 6 (2),DT,ROC AUC,0.8305937340236529,0.9455702620332789,0.9245560164275687
YEAST 6 (2),DT,F1,0.3333333333333333,0.3738466591553581,0.4876401552330451
YEAST 6 (2),DT,GEOMETRIC MEAN SCORE,0.4812250806275995,0.9424830657781917,0.8803299370459011
YEAST 6 (2),GBC,ROC AUC,0.9447323599942379,0.9708897536712057,0.9645254830682495
YEAST 6 (2),GBC,F1,0.2099280891913907,0.5303389652639312,0.5389696933353141
YEAST 6 (2),GBC,GEOMETRIC MEAN SCORE,0.4009200828992513,0.8928561751243524,0.842179511209872
VOWEL (2),LR,ROC AUC,0.9463225716450853,0.9709343741539787,0.9728646862228401
VOWEL (2),LR,F1,0.7602077138132282,0.61482187612829,0.7602077138132282
VOWEL (2),LR,GEOMETRIC MEAN SCORE,0.8198275577066167,0.9107029948711354,0.900535073907635
VOWEL (2),KNN,ROC AUC,0.910574348807324,0.9567534884160824,0.9156229407320975
VOWEL (2),KNN,F1,0.6486006731522892,0.9030130114965746,0.8964062684105102
VOWEL (2),KNN,GEOMETRIC MEAN SCORE,0.6941196318340807,0.9142586102316183,0.9037434404934036
VOWEL (2),DT,ROC AUC,0.928914367557228,0.9816998041072457,0.9716591389230747
VOWEL (2),DT,F1,0.8436712505273719,0.8479194271228804,0.9063822558626272
VOWEL (2),DT,GEOMETRIC MEAN SCORE,0.9242354809849211,0.9726437060510235,0.9651249993717758
VOWEL (2),GBC,ROC AUC,0.998292564705493,0.9985522674261205,0.9988121474787527
VOWEL (2),GBC,F1,0.9290048917319467,0.8989858574702757,0.9177092806861715
VOWEL (2),GBC,GEOMETRIC MEAN SCORE,0.9695734161058358,0.9807851210249913,0.9663956915488565
NEW THYROID 2,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 2,LR,F1,0.9378015311281237,0.9598817764641829,0.9598817764641829
NEW THYROID 2,LR,GEOMETRIC MEAN SCORE,0.9523705877559329,0.9916078003398072,0.9916078003398072
NEW THYROID 2,KNN,ROC AUC,0.9857963354474982,0.9995084566596193,0.986046511627907
