Dataset,Oversampler,Classifier,Metric,Score
PIMA (2),G-SMOTE,KNN,mean_test_geometric_mean_score,0.6691873780201791
PIMA (2),G-SMOTE,DT,mean_test_roc_auc,0.785985718851012
PIMA (2),G-SMOTE,DT,mean_test_f1,0.5210306272601498
PIMA (2),G-SMOTE,DT,mean_test_geometric_mean_score,0.7227723182696792
PIMA (2),G-SMOTE,GBC,mean_test_roc_auc,0.8344757395254827
PIMA (2),G-SMOTE,GBC,mean_test_f1,0.5593840736139162
PIMA (2),G-SMOTE,GBC,mean_test_geometric_mean_score,0.7283308237058184
PIMA (2),K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.819824016962496
PIMA (2),K-MEANS G-SMOTE,LR,mean_test_f1,0.5709090663888008
PIMA (2),K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.7555638077259532
PIMA (2),K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.7284206688031715
PIMA (2),K-MEANS G-SMOTE,KNN,mean_test_f1,0.46336641927338407
PIMA (2),K-MEANS G-SMOTE,KNN,mean_test_geometric_mean_score,0.6667278818273245
PIMA (2),K-MEANS G-SMOTE,DT,mean_test_roc_auc,0.7795170551285879
PIMA (2),K-MEANS G-SMOTE,DT,mean_test_f1,0.5249573175390527
PIMA (2),K-MEANS G-SMOTE,DT,mean_test_geometric_mean_score,0.7255484150837255
PIMA (2),K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.8329177483734513
PIMA (2),K-MEANS G-SMOTE,GBC,mean_test_f1,0.5359013141165283
PIMA (2),K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.7009703544316794
GLASS,NO OVERSAMPLING,LR,mean_test_roc_auc,0.8184850331843424
GLASS,NO OVERSAMPLING,LR,mean_test_f1,0.5071420819105297
GLASS,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.6138790621344886
GLASS,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.8492313422727888
GLASS,NO OVERSAMPLING,KNN,mean_test_f1,0.6690827757102153
GLASS,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.7543782479509339
GLASS,NO OVERSAMPLING,DT,mean_test_roc_auc,0.7863736793986185
GLASS,NO OVERSAMPLING,DT,mean_test_f1,0.6763977616339214
GLASS,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.7554646870427859
